paul15_clusters,cell_count,percentage,pseudotime_mean,pseudotime_std,pseudotime_count
14Mo,373,13.663003663003662,0.15918076,0.016868588,373
2Ery,329,12.051282051282051,0.27076465,0.02150657,329
13Baso,300,10.989010989010989,0.14237832,0.025574336,300
3Ery,246,9.010989010989011,0.24863416,0.03713475,246
15Mo,186,6.813186813186813,0.18241931,0.016748264,186
5Ery,180,6.593406593406594,0.20267147,0.044745907,180
6Ery,173,6.336996336996337,0.10842803,0.049167104,173
7MEP,167,6.117216117216117,0.037509505,0.015389939,167
16Neu,164,6.007326007326007,0.20129502,0.01744579,164
10GMP,153,5.604395604395605,0.07407199,0.029213775,153
4Ery,124,4.542124542124542,0.24151449,0.03132547,124
12Baso,69,2.5274725274725274,0.042296052,0.01859018,69
8Mk,68,2.490842490842491,0.021309752,0.015817378,68
9GMP,63,2.307692307692308,0.051312268,0.02088765,63
1Ery,43,1.575091575091575,0.30364266,0.016940033,43
19Lymph,31,1.1355311355311355,0.27362183,0.059748355,31
11DC,30,1.098901098901099,0.8924123,0.13633935,30
17Neu,22,0.805860805860806,0.054716088,0.012720695,22
18Eos,9,0.32967032967032966,0.123976454,0.027288305,9
